    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.0000000     -6245.2152      3142.6880      9036.9044      141932.40
      2.0093750     -6256.3048      3269.8112      2712.5225      1353.2468
      2.0187500     -6233.8252      3256.9152      2804.0735      1614.0051
      2.0281250     -6207.8572      3246.0638      2753.7418      1624.0579
      2.0375000     -6184.9028      3234.7372      2884.6058      1779.7617
      2.0468750     -6147.5044      3213.2640      2997.0247      2163.6053
      2.0562500     -6123.0376      3202.0114      3097.9805      2243.1850
      2.0656250     -6097.5884      3189.1060      3262.1575      2513.2023
      2.0750000     -6032.9340      3029.9330      7915.0859      122962.20
      2.0843750     -6032.5784      3154.7834      3403.4939      2845.9944
      2.0937500     -6009.6260      3140.4990      3437.5028      3295.7208
      2.1031250     -5972.0524      3125.2534      3478.8696      2996.8801
      2.1125000     -5949.6624      3110.3156      3526.8297      3703.8654
      2.1218750     -5912.5600      3091.6226      3501.5237      3284.0492
      2.1312500     -5876.3204      3062.2452      4111.1344      5570.2300
      2.1406250     -5834.7472      3040.4652      3987.6661      4749.4049
      2.1500000     -5770.0388      2940.7422      7758.2112      69259.999
      2.1593750     -5765.4096      2993.5676      4092.1923      6198.5566
      2.1687500     -5724.9992      2960.6250      4472.3786      8589.8872
      2.1781250     -5675.6576      2932.9350      4564.4151      7525.2822
      2.1875000     -5627.5768      2871.3246      4988.6946      15734.330
      2.1968750     -5589.4388      2859.9914      4779.4179      11883.356
      2.2062500     -5546.5992      2826.6006      4784.9249      10916.842
      2.2156250     -5501.1156      2781.6090      5203.5951      16433.458
      2.2250000     -5386.1628      2402.7746      9000.5332      275366.14
      2.2343750     -5359.2248      2605.2814      6270.1311      32617.588
      2.2437500     -5348.0156      2619.4464      5906.1360      25630.142
      2.2531250     -5248.3080      2423.0486      7634.5507      93249.339
      2.2625000     -5199.7060      2389.3978      5884.2679      48115.877
      2.2718750     -5132.2884      2346.3522      7367.2629      44293.486
      2.2812500     -5005.6868      349.75320      9320.9651      1540807.9
      2.2906250     -5019.7076      2029.5670      7550.3810      159682.20
