    Temperature         <E(T)>         <M(T)>       <C_v(T)>       <Chi(T)>
      2.1000000     -5981.9008      3123.6441      3589.8462      4377.2424
      2.1093750     -5952.0040      3110.6187      3497.3045      3544.2230
      2.1187500     -5916.4021      3086.9621      3692.9976      4334.4090
      2.1281250     -5880.8232      3067.1170      3799.2644      4497.1500
      2.1375000     -5841.2907      3036.0436      3939.0577      6425.7410
      2.1468750     -5808.2134      3018.9940      4076.6974      5946.3715
      2.1562500     -5768.1001      2990.7353      4137.2567      6698.7930
      2.1656250     -5732.7520      2969.1433      4278.9406      6865.5513
      2.1750000     -5687.9268      2933.6549      4364.3055      8160.4319
      2.1843750     -5644.9814      2895.2793      4731.1754      11080.209
      2.1937500     -5601.2451      2855.6602      4988.7087      16746.146
      2.2031250     -5554.7187      2815.7412      5086.3846      21465.088
      2.2125000     -5510.1444      2778.7778      5113.5571      18682.734
      2.2218750     -5451.1574      2713.2295      5955.2164      26108.540
      2.2312500     -5384.8835      2608.9373      6456.2745      56106.795
      2.2406250     -5343.5827      2586.9183      6274.2099      40393.407
      2.2500000     -5282.8337      2513.9424      6264.3907      41217.959
      2.2593750     -5185.0598      2221.8520      7994.3296      184315.40
      2.2687500     -5134.8910      2200.8485      7901.6514      151708.93
      2.2781250     -5039.6103      1947.1035      8602.3225      201594.35
      2.2875000     -4982.5092      1849.1267      7556.4049      186980.11
      2.2968750     -4883.7506      1505.8892      7580.4828      249453.16
      2.3062500     -4841.0901      1502.5425      7216.0549      221955.98
      2.3156250     -4763.2027      1289.4654      6601.5921      201542.13
      2.3250000     -4699.7135      1125.9282      6338.3374      201114.68
      2.3343750     -4653.0052      1094.3145      5687.8227      171051.33
      2.3437500     -4600.9107      995.16871      5468.2701      170479.92
      2.3531250     -4555.3412      957.40649      5528.6600      152976.55
      2.3625000     -4510.2139      859.03751      5285.0717      136167.89
      2.3718750     -4455.5850      728.49049      4500.4734      109991.68
      2.3812500     -4418.2456      711.01547      4418.6615      99135.634
      2.3906250     -4375.6366      658.16129      4201.7813      88604.000
